"Dating in the U.S. (Questions and answers should be designed for Japanese ESL students who are completely unfamiliar with American culture.)"

Question Number,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer(s)
1,"In the U.S., what does it usually mean when two people are 'dating' but not 'exclusive'?","They are married to other people.","They are only friends and never hold hands.","They might go on dates with other people too.","They must see each other every single day.","3"
2,"「昨夜、彼とデートしました」を英語にする時、最も自然なものはどれですか？","I went on a date with him last night.","I made a date with him last night.","I had a play with him last night.","I worked with him last night.","1"
3,"True or False: In the U.S., it is common to hug your date when you meet them for the first time.","True","False","1"
4,"If a man asks a woman to dinner in the U.S., who usually pays the bill in a traditional setting?","The woman always pays.","The person who asked for the date usually pays.","The youngest person always pays.","They always ask the waiter to pay.","2"
5,"What is a 'blind date' in American culture?","A date with someone who cannot see.","A date where you go to a very dark movie theater.","A date with a person you have never seen or met before.","A date that happens late at night.","3"
6,"アメリカで「交際を申し込む（付き合ってくださいと言う）」際、最も一般的な表現はどれですか？","Please be my lover.","Will you go out with me?","I want to marry you today.","Let's be friends forever.","2"
7,"Choose the best Japanese translation for: 'We are just seeing each other.'","私たちは結婚する予定です。","私たちはただ見つめ合っています。","私たちは（まだ正式ではないが）数回デートをしている仲です。","私たちは全く会っていません。","3"
8,"Which topic is considered 'bad manners' on a first date in the U.S.?","Talking about your favorite movies.","Talking about your job or school.","Asking exactly how much money the other person earns.","Talking about your pets.","3"
9,"True or False: If an American says 'I'll call you' at the end of a date, they always call within 10 minutes.","True","False","2"
10,"Your date says, 'I'll pick you up at 7:00.' What does this mean?","They will come to your house in their car to get you.","They will call your phone at 7:00.","They want you to walk to their house at 7:00.","They want you to carry them at 7:00.","1"
