Question Number,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer(s)
1,"My father is waiting for me _____ the station entrance.","in","on","at","to","3"
2,"Choose the correct meaning for the word: ""next to""","～の近くに","～の隣に","～の間に","～の後ろに","2"
3,"The convenience store is _____ the bookstore and the bakery.","near","next to","between","at","3"
4,"Choose the correct meaning for the word: ""under""","～の下に","～の中に","～の後ろに","～のそばに","1"
5,"Is your house very _____ from the school? No, it's a 5-minute walk.","near","far","at","to","2"
6,"Choose the correct meaning for the word: ""behind""","～の前に","～の近くに","～の隣に","～の後ろに","4"
7,"Don't forget to put the milk _____ the refrigerator.","at","to","on","in","4"
8,"Choose the correct meaning for the word: ""to""","～へ（方向・到着点）","～で（場所）","～の上に","～のそばに","1"
9,"There is a beautiful picture _____ the wall in the living room.","in","at","on","to","3"
10,"Choose the correct meaning for the word: ""near""","～の隣に","～の近くに","～の中に","～の間に","2"
